entity, label, occurrences
HPV, ORG, 189
Congo, GPE, 149
first, ORDINAL, 108
UK, GPE, 91
China, GPE, 91
two, CARDINAL, 73
MMR, ORG, 64
U.S., GPE, 58
one, CARDINAL, 55
Europe, LOC, 54
Chinese, NORP, 54
CDC, ORG, 51
Australia, GPE, 45
US, GPE, 44
Vaccine, PERSON, 43
Russian, NORP, 36
last year, DATE, 35
year, DATE, 35
Monday, DATE, 34
Daily Mail, ORG, 33
Ireland, GPE, 32
this year, DATE, 31
NHS, ORG, 30
season, DATE, 30
FDA, ORG, 29
Italy, GPE, 28
England, GPE, 27
Pakistan, GPE, 27
three, CARDINAL, 26
second, ORDINAL, 26
thousands, CARDINAL, 26
winter, DATE, 26
Reuters, ORG, 26
the Democratic Republic of Congo, GPE, 25
Canada, GPE, 25
ABC News, ORG, 25
Thursday, DATE, 25
Britain, GPE, 25
today, DATE, 25
millions, CARDINAL, 25
2018, DATE, 22
Brazil, GPE, 22
Tuesday, DATE, 22
years, DATE, 21
British, NORP, 21
Australian, NORP, 20
Fox News, ORG, 20
Philippines, GPE, 20
Friday, DATE, 19
CBS News, ORG, 19
American, NORP, 18
Thousands, CARDINAL, 18
this winter, DATE, 18
the World Health Organization, ORG, 18
AP, ORG, 18
Americans, NORP, 17
California, GPE, 17
four, CARDINAL, 17
WHO, ORG, 17
The Boston Globe, ORG, 17
Bill Gates, PERSON, 17
Sunday, DATE, 16
Twitter, PRODUCT, 16
The New York Times, ORG, 16
Democratic Republic of Congo, GPE, 16
annual, DATE, 16
Africa, LOC, 15
The Washington Post, ORG, 15
10, CARDINAL, 15
London, GPE, 14
Andrew Wakefield, PERSON, 14
Mbandaka, GPE, 14
Scotland, GPE, 14
Two, CARDINAL, 14
Australians, NORP, 14
dozens, CARDINAL, 14
Vanuatu, ORG, 14
French, NORP, 14
six, CARDINAL, 14
12, CARDINAL, 13
last week, DATE, 13
Wednesday, DATE, 13
FLU, ORG, 13
Indonesia, GPE, 13
Uganda, GPE, 13
Vaccines, ORG, 12
Guardian, ORG, 12
North Carolina, GPE, 12
2014, DATE, 12
next year, DATE, 12
Russia, GPE, 11
The World Health Organization, ORG, 11
One, CARDINAL, 11
UN, ORG, 11
European, NORP, 11
Irish, NORP, 11
Trump, PERSON, 11
New Zealand, GPE, 11
Aussie, PERSON, 10
Times, ORG, 10
2016, DATE, 10
Germany, GPE, 10
Dublin, GPE, 10
the United States, GPE, 10
2017, DATE, 10
H3N2, ORG, 10
Hong Kong, GPE, 10
Italian, NORP, 10
South Sudan, GPE, 10
CSL, ORG, 9
DRC, ORG, 9
Saturday, DATE, 9
Health, ORG, 9
The Globe and Mail, ORG, 9
next year's, DATE, 9
BCG, ORG, 9
Japanese, NORP, 9
Mark Green, PERSON, 9
Northland, GPE, 9
NPR, ORG, 9
Aussie, GPE, 9
HSE, ORG, 9
Yemen, GPE, 9
West Africa, GPE, 9
this week, DATE, 8
Bikoro, GPE, 8
France, GPE, 8
half, CARDINAL, 8
Muslim, NORP, 8
Brits, NORP, 8
Tennessee, GPE, 8
First, ORDINAL, 8
Brexit, PERSON, 8
Zika, PERSON, 8
2011, DATE, 8
20 years, DATE, 8
18, CARDINAL, 8
This Morning, TIME, 8
Gardasil, GPE, 8
India, GPE, 8
DR Congo, ORG, 8
Mbandaka, PERSON, 8
Limerick, GPE, 8
more than 1 million, CARDINAL, 8
next week, DATE, 8
Donald Trump, PERSON, 7
Papua New Guinea, GPE, 7
yesterday, DATE, 7
hundreds, CARDINAL, 7
Sydney, GPE, 7
Canadians, NORP, 7
Dengvaxia, GPE, 7
Canadian, NORP, 7
EU, ORG, 7
third, ORDINAL, 7
CBS, ORG, 7
CNN, ORG, 7
DR, GPE, 7
New York, GPE, 7
African, NORP, 7
five, CARDINAL, 7
35, CARDINAL, 7
4,000, CARDINAL, 7
Simon Harris, PERSON, 7
each year, DATE, 7
NSW, ORG, 7
Islamic, NORP, 7
ABC News, WORK_OF_ART, 6
this season, DATE, 6
a year, DATE, 6
140, CARDINAL, 6
17, CARDINAL, 6
three years, DATE, 6
NIH, ORG, 6
last year's, DATE, 6
36, CARDINAL, 6
America, GPE, 6
decades, DATE, 6
Three, CARDINAL, 6
Florida, GPE, 6
North Korea, GPE, 6
Northland, ORG, 6
Stanford University, ORG, 6
Melbourne, GPE, 6
1, CARDINAL, 6
only 36 percent, PERCENT, 6
Pakistani, NORP, 6
NZ, GPE, 6
Jeremy Hunt, PERSON, 6
Li Keqiang, PERSON, 6
20, CARDINAL, 6
Morocco, GPE, 6
Republican, NORP, 6
Nigeria, GPE, 6
Lou Ferrigno, PERSON, 5
Zaire, GPE, 5
2019, DATE, 5
Laura Brennan, PERSON, 5
West, LOC, 5
Texas, GPE, 5
South Africa, GPE, 5
Pfizer, PERSON, 5
GlaxoSmithKline, PERSON, 5
11, CARDINAL, 5
July, DATE, 5
Four, CARDINAL, 5
recent years, DATE, 5
2, CARDINAL, 5
Bob Sears, PERSON, 5
Zambia, GPE, 5
two weeks, DATE, 5
Hobart, PERSON, 5
Shots - Health News, ORG, 5
less than 20 percent, PERCENT, 5
Mosman, ORG, 5
Victorian, NORP, 5
two years, DATE, 5
ten, CARDINAL, 5
Gavin Williamson, PERSON, 5
FluMist, ORG, 5
Sanofi, ORG, 5
annually, DATE, 5
800,000, CARDINAL, 5
the Centers for Disease Control, ORG, 5
| CTV News, ORG, 5
Xi Jinping, PERSON, 5
CBC News, ORG, 5
Japan, GPE, 5
eight-year, DATE, 5
ninth, ORDINAL, 5
last winter, DATE, 5
Polish, NORP, 5
Warsaw, GPE, 5
Changchun, GPE, 5
months, DATE, 5
Vancouver, GPE, 5
seven, CARDINAL, 5
Chicago, GPE, 5
5, CARDINAL, 5
26, CARDINAL, 5
hundreds of thousands, CARDINAL, 5
Samoa, ORG, 5
the Centers for Disease Control and Prevention, ORG, 5
Africa Link, WORK_OF_ART, 4
Pacific, LOC, 4
the end of October, DATE, 4
Steve Brine, PERSON, 4
23, CARDINAL, 4
last season, DATE, 4
Sao Paulo, GPE, 4
Anthony Fauci, PERSON, 4
Combat Sports, ORG, 4
World Health Organisation, ORG, 4
the coming months, DATE, 4
Public Health England, ORG, 4
2001, DATE, 4
13, CARDINAL, 4
Today, DATE, 4
1918, DATE, 4
Tessa Jowell, PERSON, 4
14, CARDINAL, 4
Wales, GPE, 4
Vancouver Sun, PERSON, 4
Queensland, GPE, 4
David Agus, PERSON, 4
Ciara Kelly, PERSON, 4
Hurunui, GPE, 4
Indian, NORP, 4
DR Congo, FAC, 4
The West Australian, LOC, 4
Five, CARDINAL, 4
Al Jazeera, ORG, 4
one-month-old, DATE, 4
9, CARDINAL, 4
30,000, CARDINAL, 4
700, CARDINAL, 4
Romania, GPE, 4
Hundreds, CARDINAL, 4
Second, ORDINAL, 4
GOP, ORG, 4
Toronto, GPE, 4
Merck, ORG, 4
TB, ORG, 4
March, DATE, 4
Syria, GPE, 4
19, DATE, 4
night, TIME, 4
this month, DATE, 4
more than half, CARDINAL, 4
24,000, CARDINAL, 4
Congolese, NORP, 4
18, DATE, 4
400, CARDINAL, 4
Kat Von D, PERSON, 4
The Democratic Republic of Congo, GPE, 4
NEW YORK, GPE, 4
five years, DATE, 4
Victoria, GPE, 4
Atlantic, LOC, 4
Venezuela, GPE, 4
Changsheng Bio-technology, PERSON, 4
NHS England, ORG, 4
Last year's, DATE, 4
Kremlin, ORG, 4
December, DATE, 4
27, CARDINAL, 4
10 years, DATE, 4
Lynne Elliot, PERSON, 3
the Vegetarian Society, ORG, 3
DR Congo, GPE, 3
Zimbabwe, GPE, 3
6 months, DATE, 3
the Democratic Republic of the Congo, GPE, 3
1.2 million, CARDINAL, 3
28, CARDINAL, 3
Afghanistan, GPE, 3
just 25 percent, PERCENT, 3
ITV, ORG, 3
Nexvax2, PERSON, 3
Drugmaker GSK, ORG, 3
the National Institute of Allergy and Infectious Diseases, ORG, 3
May, DATE, 3
Peter Salama, PERSON, 3
at least one, CARDINAL, 3
30 percent, PERCENT, 3
more than 30 percent, PERCENT, 3
Last year, DATE, 3
North Kivu, GPE, 3
Aaron Traywick, PERSON, 3
recent months, DATE, 3
100, CARDINAL, 3
Sarah Storey, PERSON, 3
Chickenpox, ORG, 3
Tasmania, GPE, 3
days, DATE, 3
14, DATE, 3
TheJournal.ie - Breaking Irish and International News, WORK_OF_ART, 3
The Washington Post Public, ORG, 3
Viagra, PRODUCT, 3
$3.5 million, MONEY, 3
Shingrix, PRODUCT, 3
Harvard, ORG, 3
22, CARDINAL, 3
Canberra, PERSON, 3
October, DATE, 3
36 percent, PERCENT, 3
Portuguese, NORP, 3
B.C., ORG, 3
South Australian, NORP, 3
LONDON, GPE, 3
The World Health Organisation (WHO, ORG, 3
Glaxosmithkline, PERSON, 3
two decades, DATE, 3
25 percent, PERCENT, 3
500, CARDINAL, 3
August, DATE, 3
the United Nations, ORG, 3
the weekend, DATE, 3
B.C., PERSON, 3
Trump, ORG, 3
Greg Hunt, PERSON, 3
Health Canada, ORG, 3
Denmark, GPE, 3
2,000, CARDINAL, 3
400%, PERCENT, 3
Tdap, GPE, 3
60 Minutes, TIME, 3
the World Health Organisation (WHO, ORG, 3
19, CARDINAL, 3
Ben Shephard, PERSON, 3
BRITAIN, GPE, 3
Kate Garraway, PERSON, 3
Daily Mail Online Public Health England, ORG, 3
the European Union, ORG, 3
Elle Macpherson, PERSON, 3
B., PERSON, 3
tens of thousands, CARDINAL, 3
San Diego, GPE, 3
million, CARDINAL, 3
6, CARDINAL, 3
Vic, ORG, 3
West African, NORP, 3
South Sudan's, GPE, 3
Robyn Smyth, PERSON, 3
